Id,Ano,Numero_Accidente,Provincia,Mes,Dia,Hora,Dia_Semana,Tipo_Dia,Vehiculos_Implicados,Carretera,Pk,Km,Hm,Sentido,Zona,Tipo_Via,Anchura_Calzada,Anchura_Carril,Marcas_Viales,Arcen,Arcen_Pavimentado,Mediana,Barrera_Seguridad,Paneles_Direccionales,Hitos_Arista,Captafaros,Interseccion_Tipo,Interseccion_Acondicionamiento,Prioridad_Regulada_por,Superficie,Luminosidad,Factores_Atmosfericos,Visibilidad_Restringida_por,Otras_Circunstancias,Senalizacion_Peligro,Aceras,Arboles,Arboles_Metros_Calzada,Visibilidad_Senalizacion_Vertical,Colision_Vehiculos_Marcha,Colision_Vehiculo_Obstaculo_1,Colision_Vehiculo_Obstaculo_2,Atropello_1,Atropello_2,Vuelco_1,Vuelco_2,Salida_Sin_Colision,Salida_Con_Colision,Lado_Salida,Otro,Circulacion,Circulacion_Medidas_Especiales,Distraccion,Inexperiencia_Conductor,Alcohol_Drogas,Cansancio_Sueno,Enfermedad,Velocidad_Inadecuada,Infraccion_Norma_Circulacion,Estado_Condicion_Via,Estado_Condicion_Senalizacion,Tramo_Obras,Mal_Estado_Vehiculo,Averia_Mecanica,Meteorologia_Adversa,Irrupcion_Animal,Circular_Sentido_Contrario,Otro_Factor,Sin_Opinion_Definida,Pendiente,Curvatura,Peralte,GPS_x,GPS_y,GPS_z,Tipo_Est,IMD,N_Muertos,N_Graves,N_Leves,Hora_Real,Fuera_o_Interseccion
147,1,2005030000111,1,6,4,2,6,2,1,CV-870,3.5,3,5,0,1,5,2,2,3,3,2,1,1,2,1,1,7,7,8,1,2,1,2,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,67,NaN,60,NaN,1,4,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,679467.348,4222842.731,21.424,Cob,6592,0,0,1,6,5
185,1,2005030000114,1,6,22,3,3,1,3,CV-920,3,3,0,0,1,5,2,3,3,3,2,1,2,2,1,1,7,7,8,1,1,1,9,14,2,1,1,NaN,1,5,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,688253.672,4215380.363,0.311,Pri,7582,0,1,2,7,1
189,1,2005030000115,1,6,13,4,1,1,4,CV-91,4.6,4,6,1,1,5,2,3,3,4,2,1,1,1,1,1,7,7,8,1,1,1,9,14,1,1,1,NaN,1,NaN,30,29,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,700879.561,4218923.246,-25.631,Sec,13355,0,0,3,14,1
191,1,2005030000116,1,6,23,4,4,1,2,CV-700,60.5,60,5,1,1,5,3,2,3,3,2,1,1,1,1,1,1,6,8,1,1,1,9,14,3,1,1,NaN,1,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,715602.558,4295783.807,639.149,Cob,7180,0,0,2,14,6
195,1,2005030000123,1,6,24,6,5,1,2,CV-725,0.2,0,2,0,1,5,1,2,4,4,2,1,1,1,2,2,7,7,8,1,1,1,9,14,1,1,1,NaN,1,1,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,762872.095,4301049.153,17.24,Pri,18142,0,0,4,22,4
201,1,2005030000129,1,6,24,5,5,1,2,CV-820,15.3,15,3,1,1,5,2,2,3,3,2,1,1,1,1,1,7,7,8,1,1,1,9,14,3,1,1,NaN,2,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,708811.026,4255392.845,192.184,Pri,4035,0,1,0,16,1
203,1,2005030000131,1,6,26,2,7,3,2,CV-855,2.5,2,5,1,1,5,2,2,3,3,2,1,1,1,1,1,7,7,8,1,1,1,9,8,3,1,1,NaN,2,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,697612.891,4224078.15,-15.129,Pri,10599,0,0,1,6,1
204,1,2005030000132,1,6,22,3,3,1,1,CV-700,59.6,59,6,0,1,5,1,3,3,3,2,1,1,1,1,1,7,7,5,1,1,1,9,14,3,1,1,NaN,1,NaN,NaN,,NaN,,NaN,,57,NaN,50,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,752307.057,4303894.209,8.478,Cob,7180,0,0,1,10,1
206,1,2005030000135,1,6,26,6,7,3,2,CV-820,1.1,1,1,1,1,5,3,2,3,3,2,1,1,1,1,1,1,1,3,1,5,1,9,14,2,1,3,NaN,1,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,696962.416,4251954.789,211.364,Cob,6864,0,0,1,22,7
208,1,2005030000148,1,6,27,1,1,1,1,CV-940,7.7,7,7,0,1,5,2,2,3,3,2,1,1,1,1,1,7,7,8,1,5,1,9,14,2,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,51,50,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,696890.119,4212869.337,33.889,Cob,4511,0,0,1,2,1
