Id,Ano,Numero_Accidente,Provincia,Mes,Dia,Hora,Dia_Semana,Tipo_Dia,Vehiculos_Implicados,Carretera,Pk,Km,Hm,Sentido,Zona,Tipo_Via,Anchura_Calzada,Anchura_Carril,Marcas_Viales,Arcen,Arcen_Pavimentado,Mediana,Barrera_Seguridad,Paneles_Direccionales,Hitos_Arista,Captafaros,Interseccion_Tipo,Interseccion_Acondicionamiento,Prioridad_Regulada_por,Superficie,Luminosidad,Factores_Atmosfericos,Visibilidad_Restringida_por,Otras_Circunstancias,Senalizacion_Peligro,Aceras,Arboles,Arboles_Metros_Calzada,Visibilidad_Senalizacion_Vertical,Colision_Vehiculos_Marcha,Colision_Vehiculo_Obstaculo_1,Colision_Vehiculo_Obstaculo_2,Atropello_1,Atropello_2,Vuelco_1,Vuelco_2,Salida_Sin_Colision,Salida_Con_Colision,Lado_Salida,Otro,Circulacion,Circulacion_Medidas_Especiales,Distraccion,Inexperiencia_Conductor,Alcohol_Drogas,Cansancio_Sueno,Enfermedad,Velocidad_Inadecuada,Infraccion_Norma_Circulacion,Estado_Condicion_Via,Estado_Condicion_Senalizacion,Tramo_Obras,Mal_Estado_Vehiculo,Averia_Mecanica,Meteorologia_Adversa,Irrupcion_Animal,Circular_Sentido_Contrario,Otro_Factor,Sin_Opinion_Definida,Pendiente,Curvatura,Peralte,GPS_x,GPS_y,GPS_z,Tipo_Est,IMD,Hora_Real,Fuera_o_Interseccion
928,1,2005120000411,2,8,13,3,6,2,1,CV-10,12.6,12,6,1,1,2,3,2,3,4,2,2,2,1,2,2,7,7,8,1,1,1,9,14,3,1,1,NaN,2,NaN,NaN,,21,24,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,769811.091,4480958.609,307.688,Sec,28983,10,2
13450,4,2008460003068,3,5,3,4,6,2,3,CV-35,9,9,0,0,1,2,2,2,3,4,2,2,2,2,2,2,6,1,8,1,1,1,9,14,3,1,1,NaN,1,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,717369.299,4381014.853,95.977,Per,62359,14,6
2821,2,2006030001796,1,5,24,4,3,1,2,CV-821,4.4,4,4,1,1,5,2,2,3,1,2,1,1,1,1,1,5,1,8,1,1,1,9,14,2,1,1,NaN,2,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,2,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,720682.698,4253700.498,44.731,Sec,28963,11,6
1538,1,2005460000887,3,8,15,5,1,3,1,CV-35,68.9,68,9,1,1,5,2,3,3,3,2,1,2,2,1,1,7,7,8,1,1,1,2,14,1,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,65,NaN,60,NaN,1,4,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,697442.106,4395866.117,257.592,Cob,1958,15,5
300,1,2005030000819,1,8,22,3,1,4,2,CV-91,8.4,8,4,0,1,3,3,1,3,1,2,1,1,1,1,1,5,3,4,1,1,1,9,14,2,1,1,NaN,1,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,689158.675,4218128.89,-12.755,Sec,13355,8,6
7242,3,2007030001559,1,5,30,5,3,1,1,CV-763,0.5,0,5,1,1,5,2,3,3,3,2,1,1,1,1,1,7,7,5,1,1,1,9,14,3,1,1,NaN,1,NaN,NaN,,NaN,,NaN,,NaN,61,60,NaN,1,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,750660.05,4275706.997,165.17,Cob,10087,15,2
18739,6,2010030003493,1,8,19,6,4,1,2,CV-905,0,0,0,0,1,5,1,2,3,3,2,2,2,1,2,2,3,6,4,1,1,1,9,14,1,1,1,NaN,2,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,698062.729,4215016.961,1.517,Pri,23802,19,6
3437,2,2006030003342,1,10,25,6,3,1,2,CV-821,4.5,4,5,0,1,5,3,2,3,3,2,1,1,1,1,1,5,1,8,1,3,1,9,14,1,2,2,1,2,NaN,NaN,,NaN,,NaN,,NaN,63,60,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,720111.512,4253340.597,49.367,Sec,28963,22,6
10133,3,2007460005336,3,7,24,3,2,1,2,CV-410,5,5,0,0,1,5,2,2,3,3,2,1,2,2,2,2,5,1,8,1,1,1,9,14,3,1,1,NaN,1,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,716541.16,4372783.825,43.957,Pri,31883,7,6
5186,2,2006460004439,3,5,8,6,1,4,3,CV-35,3.7,3,7,1,1,2,3,2,3,4,2,2,2,1,2,2,7,7,8,1,1,1,9,14,3,1,3,NaN,2,5,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,654624.554,4423010.12,915.411,Per,129800,19,1
16012,5,2009120000794,2,4,20,6,1,4,2,CV-17,0,0,0,1,1,5,3,2,3,4,2,1,2,2,2,2,5,1,4,1,1,1,9,14,1,1,1,NaN,2,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,745718.594,4430628.172,72.343,Sec,19986,17,6
